Tweet,Label,char_length,word_count
Mau pulang ke Indonesia setelah #KaburAjaDulu? Yuk cek dulu aturan terbaru soal impor barang pindahan! https://t.co/0HHZIkcASR,Neutral,126,16
@neohistoria_id #KaburAjaDulu,Neutral,29,2
 SMT Program Indonesia hadir kembali! Kesempatan EMAS buat kamu mahasiswa Indonesia yang ingin belajar langsung dari pakar Korea dan punya impian ke Korea GRATIS tanpa biaya! #kelasGratis #magangID #korea #kaburajadulu #gratis https://t.co/4mPt0Stl0A,Joy,250,32
INI PENGERTIAN NYA SAMA GA SIH DENGAN #KABURAJADULU ? https://t.co/xBIQq0Jb6j,Neutral,77,10
@Arbiarso_W yup. KALAU LEMAH DAN MALAS JANGAN SUKA NGAJAK2 berlaku juga utk seluruh hal. KALAU KAMU BURUK JGN NGAJAK2. males bersih2 males belajar ga mau perbaiki adab masyrakat ID dll. jgn ngajak orang2 utk jangan jalan kaki ngajak utk ga baca kaburajadulu dll..,Anger,263,43
Ini disebut fenomena brain drain dan makin banyak yang relate! Daripada pulsa kamu nganggur convert aja di https://t.co/q126nCQX4a Rate tinggi ⏰ Admin 24 jam standby Bisa jadi bekal buat kamu yang juga pengen #kaburajadulu,Neutral,222,34
Wah katanya hero kau @netanyahu kok bisa kabur begono. Alm Yahya Sinwar aja hadapi puluhan pasukan sampai titik darah penghabisan. Kabur kok Yunani harusnya kabur tuh ke Indonesia pasti disambut sama pasukan zionis pesek ini @ProfOnline_id @I_love_Israel7 #KaburAjaDulu https://t.co/1EYqZKCNbR,Anger,293,39
Berburu Dollar #KaburAjaDulu - Hadi Hartono Reihan 24 tahun sarjana ekonomi dari universitas negeri ternama. Dengan IPK nyaris sempurna dan se... Baca selengkapnya di aplikasi KBM App. Klik link di bawah: https://t.co/CtFRs6dSeE,Neutral,228,32
@mkbijaksana btw aku jg lg jual ebook buat belajar bhs asing nih ada persiapan ielts hsk minna no nihongo sama bahasa korea terpadu. cus langsung klik aja: https://t.co/UxUarvdo7b,Neutral,179,28
https://t.co/Y5LWsGo98L Wajar mahasiswa #KaburAjaDulu laah wong menteri pendidikan kita kayak gini GOBLOK-nya.,Anger,110,12
@aingriwehuy ayo Rafa #kaburajadulu ,Neutral,36,4
@newscientist @CERN @AsteroidWatch @NASAEarth @SpaceX https://t.co/MFXTkL0Obd The Darkest places of hell are reserved for those who maintain their neutrality in times of moral crisis. - Dante Alighieri Inferno #MIvsPBKS #LaCasaDeLosFamososCol #kaburajadulu #Trump #ElonMusk #IndonesiaOpen2025 https://t.co/DfgXe8zFSL,Neutral,316,35
@logos_id Dare enough to leave my hometown Bukan saran yang bijak dan berlaku ke semua orang... tapi merantau dari jawa barat aja udh good deals buat saya Gatau kenapa lebih care org2 rantau saat kita kelaparan... Sisanya hayuk ikhtiar supaya ada pekerjaan tetap disana... #kaburajadulu,Love,286,45
#KaburAjaDulu #BersamaRakyat #PERFECT10LINERSinJAPANR1 #TravelokaFairGandariaCity #PajamaDriveJKT48 #IndonesiaTrend #ViralIndonesia https://t.co/hni8NwBMIO,Neutral,155,8
#KaburAjaDulu #BersamaRakyat #PERFECT10LINERSinJAPANR1 #TravelokaFairGandariaCity #PajamaDriveJKT48 #IndonesiaTrend #ViralIndonesia https://t.co/pWaarmEOkE,Neutral,155,8
#KaburAjaDulu #BersamaRakyat #PERFECT10LINERSinJAPANR1 #TravelokaFairGandariaCity #PajamaDriveJKT48 #IndonesiaTrend #ViralIndonesia https://t.co/J94yCLTqGb,Neutral,155,8
#KaburAjaDulu #BersamaRakyat #PERFECT10LINERSinJAPANR1 #TravelokaFairGandariaCity #PajamaDriveJKT48 #IndonesiaTrend #ViralIndonesia https://t.co/xyA3a63Bkh,Neutral,155,8
#KaburAjaDulu #BersamaRakyat #PERFECT10LINERSinJAPANR1 #TravelokaFairGandariaCity #PajamaDriveJKT48 #IndonesiaTrend #ViralIndonesia https://t.co/2vj0xDOWUK,Neutral,155,8
#KaburAjaDulu #BersamaRakyat #PERFECT10LINERSinJAPANR1 #TravelokaFairGandariaCity #PajamaDriveJKT48 #IndonesiaTrend #ViralIndonesia https://t.co/pnpuQVUCAq,Neutral,155,8
@el_jastip @rodadotco @MasMasBiassaa @Aerio_Id Biasanya: 1. Orang FOMO ada mobil baru lain 2. Tiba2 dpt rejeki berlimpah jd mau upgrade 3. Tiba2 butuh uang terpaksa jual aset 4. Perubahan situasi misal tiba2 hamil butuh MPV 5. Kesempatan #KaburAjaDulu jd mobil di Indonesia tdk terpakai lg 5. Sekedar nyesel gak cocok aja,Neutral,321,51
#KaburAjaDulu https://t.co/L4GikgUtX9 https://t.co/lCOBsJLBPe,Neutral,61,3
@historia_id pelopor kaburajadulu (ke Yordania),Neutral,47,5
Yang suka ngoprek atau bongkar-bongkar ini alat wajib punya! Serbaguna &amp; bikin kerjaan beres! Cek aja: https://t.co/ZILLFmaXYH #ShopeeFinds #KunciAjaib #KaburAjaDulu https://t.co/6oc5Pts1ck,Neutral,193,21
Aplikasi baru Speed ​​Man ini menghasilkan uang dengan sangat cepat. Masukkan ID undangan 62896302 dan Anda bisa mendapatkan Rp16K. https://t.co/ybhVSDy6Gs #saldogratis #kodeundagan #Chudai #viralvideo #Linkviral #nagita #KaburAjaDulu #IjazahJokowi #tre,Neutral,253,29
Tatacwan model super tobrud https://t.co/V4jDm4nnnz https://t.co/mNtwzWb0W1 https://t.co/oOUXjSulMJ https://t.co/uy4TRTl2EU Grup #KaburAjaDulu Malam Minggu Ngontrak Menteri Tidur https://t.co/tpSthnaPA3 https://t.co/wBaUuL8YBX,Neutral,226,17
 Cek videobook Bisa Bikin Brand di sini: https://t.co/fjfGU39S94 Belajar dari yang udah branding lebih lama dari umur akun X kamu. #KaburAjaDulu #KaburAjaDuluTapiBeliDulu #BrandingBukanMagic #SubiaktoBukanSubiAja #GagalBrandingGagalNikah,Neutral,237,25
 Cek link https://t.co/fjfGU39S94 sebelum kamu jadi brand yang cuma dibahas di grup WA keluarga. #BisaBikinBrand #KaburAjaDulu #BrandingTapiBingung #LogoBukanIdentitas #BisnisRecehMauNaikKelas,Neutral,192,19
@RuangSenja_id Bisa bicara 4 bahasa biar bisa #KaburAjaDulu,Neutral,59,8
ini baru hari jumat gajian masih dua hari lagi. tapi udah nggak sabar pengen beli barang ini. cek harga disini https://t.co/rOAPDQHr2A #KaburAjaDulu https://t.co/VlfPeZhOeX,Joy,172,23
Di episode terbaru Jokowisme Uncensored kita bedah strategi kekuasaan Prabowo-Gibran sebagai penerus Jokowi beserta dampaknya bagi kesejahteraan rakyat. Dari peta kekuasaan skema ekonomi-politik sampai reaksi publik yang terpecah antara #KaburAjaDulu dan #LawanAjaDulu.,Neutral,269,32
@id_lgk Tim mengalami penurunan sejak gagal quadraple 2022: -Mane Firmino Fabinho out -gagal masuk UCL -Klopp out -Virgil Mo Salah masih belum renew contract -Tidak terlihat itikad FSG memperkuat tim selalu kami puas dg squad yg ada . mungkin dia mikir #KaburAjaDulu FSG telat !,Sad,278,45
Daftar sekarang di: https://t.co/GZmdEU6zpL atau klik link di bio Instagram https://t.co/bE5ZI0Jc9x Saatnya #KaburAjaDulu dan wujudkan impianmu kerja di luar negeri! ️ Yuk pantau timeline-nya! https://t.co/gnEv1ZeNfX,Joy,216,25
Ramai #KaburAjaDulu dan #Indonesiagelap Diaspora Pertanyakan Masa Depan RI https://t.co/rZsVh5Zcop,Neutral,98,10
Persiapan JLPT N2 lengkap buat #KaburAjaDulu dalam 1 buku : Yosou Mondaishuu! Latihan karakter kosakata tata bahasa membaca &amp; mendengar. Penjelasan jawaban detail lengkap ya ada di buku terpisah bhs Inggris &amp; Mandarin. Bonus CD juga ada https://t.co/6d78iDHqKj https://t.co/XisbD4FsgI,Neutral,292,39
@datsbiel Tagar #KaburAjaDulu lagi ramai? Sebelum beneran kabur mending upgrade dulu barang-barang kamu biar hidup lebih enak! Laptop skincare koper sampai outfit keren semua ada diskon di Lazada! Beli lewat link ini ya (ada komisi buat aku juga hehe): https://t.co/c99sLIyPg8 https://t.co/hsseuUaAZK,Neutral,300,41
@Berant_takan Tagar #KaburAjaDulu lagi ramai? Sebelum beneran kabur mending upgrade dulu barang-barang kamu biar hidup lebih enak! Laptop skincare koper sampai outfit keren semua ada diskon di Lazada! Beli lewat link ini ya (ada komisi buat aku juga hehe): https://t.co/c99sLIyPg8 https://t.co/nB14Rbg9kq,Neutral,304,41
@turutinxaja Tagar #KaburAjaDulu lagi ramai? Sebelum beneran kabur mending upgrade dulu barang-barang kamu biar hidup lebih enak! Laptop skincare koper sampai outfit keren semua ada diskon di Lazada! Beli lewat link ini ya (ada komisi buat aku juga hehe): https://t.co/c99sLIyPg8 https://t.co/Q02o4ACHX8,Neutral,303,41
@threadbcn semakin menguat statment #kaburajadulu kalo melihat kondisi jawa seperti ini,Sad,87,11
